0h05m42.374s +15d29m29.6268s
0h05m42.4662s +0d36m25.1245s
0h05m42.5336s +-11d10m48.9216s
0h05m42.7704s +15d41m03.9084s
0h05m42.9306s +14d40m18.9804s
0h05m45.0749s +16d08m53.2572s
0h05m45.8082s +-0d32m33.9538s
0h05m46.4117s +-9d39m54.7801s
0h05m48.9379s +14d33m40.0788s
0h05m52.1375s +-9d21m49.955s
0h05m53.1257s +-9d23m49.34s
0h05m53.1535s +-10d45m57.9168s
0h05m53.7339s +-10d40m00.0192s
0h05m53.8243s +0d27m13.1419s
0h05m55.7636s +0d32m57.3077s
0h05m55.9088s +-10d02m13.398s
0h05m56.1599s +16d08m04.1676s
0h05m57.197s +0d18m33.2739s
0h05m57.9913s +-9d21m17.7512s
0h05m58.3382s +-0d14m52.4781s
0h05m58.7752s +-9d20m38.4979s
0h05m58.8122s +-10d41m05.0388s
0h05m58.8584s +-9d11m34.067s
0h06m00.8078s +15d49m38.2512s
0h06m00.8604s +0d56m51.5325s
0h06m01.8582s +-9d55m03.0803s
0h06m02.3035s +15d59m30.318s
0h06m02.3942s +14d25m02.8704s
0h06m03.908s +-0d43m37.1743s
0h06m05.5926s +-9d20m07.0318s
0h06m05.7278s +13d58m43.8528s
0h06m06.0607s +0d49m44.9549s
0h06m07.0491s +-8d56m22.0999s
0h06m08.8003s +-10d28m32.088s
0h06m08.9185s +-10d49m44.2236s
0h06m08.9797s +-8d54m46.6178s
0h06m10.0686s +14d01m03.4284s
0h06m10.4073s +0d40m56.3486s
0h06m10.8339s +-11d07m11.748s
0h06m11.2694s +-9d37m53.99s
0h06m11.6904s +13d48m01.8036s
0h06m11.8724s +15d49m00.8616s
0h06m12.4695s +15d46m49.8036s
0h06m13.2583s +-1d14m33.4669s
0h06m14.3648s +-1d08m47.211s
0h06m14.5257s +-10d06m02.664s
0h06m15.5666s +-8d55m56.2739s
0h06m16.2886s +-8d54m33.9066s
0h06m16.3858s +15d51m44.928s
0h06m16.7193s +-8d59m32.4323s
0h06m17.3559s +0d27m41.07s
0h06m17.4149s +15d08m46.6332s
0h06m17.4678s +13d43m03.5616s
0h06m17.5191s +-0d40m55.8419s
0h06m17.5634s +1d01m27.5552s
0h06m19.6114s +14d19m38.748s
0h06m19.8851s +-9d27m44.8531s
0h06m20.2355s +15d49m40.7172s
0h06m20.8315s +13d52m25.608s
0h06m21.2246s +-10d20m13.6608s
0h06m21.7784s +0d26m09.0873s
0h06m25.5761s +15d25m43.4712s
0h06m25.9175s +-10d41m04.8444s
0h06m26.2201s +-1d11m10.8784s
0h06m26.4229s +0d23m26.3864s
0h06m26.8348s +-9d50m13.4509s
0h06m27.0228s +-9d27m00.4356s
0h06m27.1337s +-9d01m01.7872s
0h06m28.3497s +0d30m18.8254s
0h06m28.5251s +-9d47m50.2001s
0h06m28.57s +0d29m05.4263s
0h06m28.8285s +16d04m30.5904s
0h06m28.8596s +-0d47m02.8986s
0h06m28.9702s +-0d36m57.2145s
0h06m29.2986s +14d10m56.5248s
0h06m29.4174s +-1d12m13.8604s
0h06m30.151s +13d51m54.1548s
0h06m30.5587s +0d23m24.172s
0h06m31.0916s +-0d41m34.0085s
0h06m32.5751s +15d40m04.7748s
0h06m33.9964s +-0d03m21.9972s
0h06m34.5527s +15d48m32.5152s
0h06m34.9166s +-9d57m52.7728s
0h06m35.2433s +-0d28m24.6186s
0h06m35.3572s +-0d07m00.0384s
0h06m35.7272s +-0d34m15.8363s
0h06m36.2129s +0d52m31.1853s
0h06m36.5866s +-0d01m59.401s
0h06m36.6163s +16d02m37.7484s
0h06m36.9006s +-9d52m21.7038s
0h06m37.2145s +-0d31m21.0159s
0h06m37.5343s +-11d10m13.9944s
0h06m37.6388s +-0d32m40.2734s
0h06m37.8431s +-0d51m12.9824s
0h06m38.0067s +-10d31m06.24s
0h06m39.2558s +0d34m10.1088s
0h06m40.214s +-0d16m23.8349s
0h06m40.7619s +-0d28m21.3416s
0h06m41.1054s +-10d58m25.9392s
0h06m41.1424s +-0d37m00.1655s
0h06m42.9962s +-10d35m33.9252s
0h06m43.6722s +14d50m19.95s
0h06m44.4569s +0d34m21.0354s
0h06m44.5663s +-11d13m16.9428s
0h06m44.725s +-9d51m53.6058s
0h06m45.1458s +-0d20m17.7118s
0h06m46.6553s +16d00m01.7676s
0h06m47.3279s +-0d36m13.6365s
0h06m51.9696s +-10d47m17.8476s
0h06m53.5275s +-0d50m52.9482s
0h06m53.7115s +-0d49m10.7198s
0h06m53.7158s +-9d18m18.6952s
0h06m56.6684s +15d17m41.4744s
0h06m57.0268s +0d51m25.9581s
0h06m57.1108s +0d41m28.7629s
0h06m57.4956s +-1d09m27.6955s
0h06m57.763s +15d25m50.0952s
0h06m58.4868s +-10d44m16.2492s
0h06m59.1353s +15d18m54.3888s
0h06m59.6235s +14d50m14.5428s
0h07m00.426s +0d25m14.8711s
0h07m00.562s +0d54m10.5435s
0h07m01.5935s +14d06m23.7132s
0h07m02.6651s +16d02m21.6636s
0h07m02.9941s +-0d44m10.5028s
0h07m03.7021s +14d00m38.4768s
0h07m06.6084s +-8d50m51.1703s
0h07m07.5823s +0d37m05.6199s
0h07m08.4892s +-11d03m51.9372s
0h07m09.1703s +-9d59m10.0046s
0h07m09.756s +1d12m29.1154s
0h07m09.8305s +1d04m00.0275s
0h07m10.7565s +-0d24m53.1366s
0h07m11.1834s +14d55m25.4388s
0h07m11.4031s +-10d00m10.1088s
0h07m11.5896s +13d46m06.8664s
0h07m12.585s +16d06m52.2108s
0h07m13.3888s +0d28m55.2253s
0h07m13.6261s +14d02m48.9264s
0h07m14.6356s +-0d38m31.0038s
0h07m15.6273s +-0d01m16.7328s
0h07m15.6494s +0d22m25.2692s
0h07m15.8989s +-8d51m17.8556s
0h07m15.9428s +-11d04m14.7216s
0h07m16.1002s +14d25m38.5788s
0h07m16.1488s +0d35m52.1354s
0h07m16.8417s +-10d19m08.4828s
0h07m17.7803s +0d36m42.2926s
0h07m18.1737s +0d34m22.6786s
0h07m19.5353s +15d57m07.7544s
0h07m19.7655s +-8d51m37.2128s
0h07m19.799s +0d30m43.9341s
0h07m20.7765s +0d29m35.5762s
0h07m22.4842s +-1d10m18.3482s
0h07m22.5287s +-0d20m09.7475s
0h07m23.6226s +-0d38m29.4142s
0h07m24.0745s +15d56m01.9896s
0h07m24.2173s +-0d30m40.2764s
0h07m24.4752s +-11d08m08.8656s
0h07m25.1012s +-0d51m46.293s
0h07m25.3909s +0d32m35.7307s
0h07m25.4744s +0d43m43.0447s
0h07m25.674s +-0d45m07.5337s
0h07m25.7022s +0d35m32.6053s
0h07m26.2271s +16d06m49.9932s
0h07m26.6029s +14d03m53.2728s
0h07m26.719s +-0d42m21.5913s
0h07m27.8872s +0d47m06.8237s
0h07m30.2989s +1d10m03.545s
0h07m32.2664s +-0d40m09.383s
0h07m32.4902s +14d15m57.6288s
0h07m32.557s +-1d04m08.7341s
0h07m33.1484s +-9d21m20.9718s
0h07m33.7744s +-0d15m33.2749s
0h07m35.2484s +14d55m13.5192s
0h07m35.4775s +-10d22m44.4468s
0h07m35.7195s +14d27m06.9552s
0h07m36.2849s +-0d13m55.2997s
0h07m36.6s +-10d51m34.6536s
0h07m36.9956s +13d58m05.1492s
0h07m37.1819s +-9d06m29.2907s
0h07m38.9725s +0d48m56.2227s
0h07m39.5205s +15d58m36.03s
0h07m39.5713s +-9d04m45.8882s
0h07m39.848s +-0d51m26.6559s
0h07m40.381s +-8d50m05.4856s
0h07m40.6367s +15d40m21.2916s
