,ra,dec
970,9.25417049999999,8.9940181
971,9.2509139,9.0962056
972,9.23540220000001,9.121196
973,9.27850560000002,9.1567036
974,9.10752029999998,9.0840147
975,9.26482060000001,9.1723357
976,9.13002019999999,9.2297353
977,9.22806070000001,9.1832005
978,9.24389359999998,9.2205542
979,9.26294669999999,9.1973773
980,9.24708659999999,8.2907819
981,9.23952689999999,8.3411135
982,9.13755309999999,8.1775934
983,9.00086449999998,8.1982732
984,9.05903160000003,8.1005026
985,9.18473760000001,8.2823843
986,9.09305590000002,8.3099023
987,9.16292700000002,8.4785891
988,9.01777170000003,8.2754101
989,9.273999,8.52144
990,9.11125750000002,8.3866975
991,9.25054569999998,8.5430091
992,9.11270450000001,8.4956726
993,9.37050240000002,8.5722197
994,9.19372429999999,8.6338746
995,9.19208520000001,8.6014642
996,8.98527890000003,8.8755004
997,8.85744099999999,8.8858437
998,8.85112190000001,8.8105973
999,142.80546,19.352647
1000,142.83132,19.333987
1001,142.72133,19.408384
1002,142.66324,19.238373
1003,142.81868,19.302197
1004,142.55572,19.227758
1005,142.98444,19.423193
1006,143.18151,19.739986
1007,142.93857,19.59839
1008,143.04483,19.795276
1009,142.84688,19.64306
1010,142.98637,19.633225
1011,142.90524,19.880871
1012,143.1695,19.802839
1013,142.87481,19.738948
1014,143.14025,20.038738
1015,142.18664,18.98727
1016,142.01793,19.04956
1017,142.28691,19.029429
1018,142.20158,19.177339
1019,142.27526,19.581505
1020,142.23101,19.435581
1021,142.39731,19.33896
1022,142.10844,19.386761
1023,142.41029,19.63241
1024,142.06859,19.483104
1025,142.33771,19.264569
1026,142.30853,19.491034
1027,142.2702,19.557716
1028,142.12973,19.564729
1029,142.64893,19.687722
1030,142.59951,19.834212
1031,231.75057,29.509185
1032,231.72086,29.600065
1033,231.81403,29.550039
1034,231.89071,29.570879
1035,231.86567,29.56762
1036,231.99357,29.756344
1037,231.76445,29.640322
1038,231.70722,29.451091
1039,231.85423,29.608878
1040,231.91505,29.611099
1041,231.77373,29.656999
1042,231.69911,29.687749
1043,231.7989,29.685798
1044,231.90993,29.685022
1045,231.89557,29.549933
1046,231.85069,29.650827
1047,231.74356,29.626874
1048,231.73593,29.648549
1049,232.05956,29.847598
1050,232.10273,29.829545
1051,232.19963,30.167021
1052,232.16127,30.138029
1053,232.08374,30.154882
1054,231.77562,29.791065
1055,231.89199,29.793429
1056,232.04501,29.810136
1057,231.90895,30.201883
1058,231.73543,29.874039
1059,232.15591,30.24333
1060,135.29871,63.33976
1061,135.48659,63.484545
1062,135.52177,63.167181
1063,135.02209,62.205533
1064,135.17138,61.989022
1065,134.63622,62.236018
1066,135.00002,62.005835
1067,134.73084,62.118331
1068,134.9865,62.493411
1069,134.92871,62.519178
1070,134.54,62.288071
1071,134.75646,62.511563
1072,134.82242,62.447055
1073,134.76719,62.827287
1074,134.66907,62.430233
1075,134.60094,62.840219
1076,134.64967,62.757746
1077,134.78951,62.899758
1078,134.83711,62.913405
1079,135.02807,63.019086
1080,135.05104,63.051442
1081,134.79927,63.174831
1082,134.99588,62.984156
1083,135.16781,63.449608
1084,134.88054,62.875214
1085,135.18355,63.225454
1086,134.84454,63.077637
1087,135.15148,63.182897
1088,134.86155,63.399793
1089,134.87136,63.435288
1090,135.11313,63.479006
1091,134.38854,62.085363
1092,133.94332,61.836451
1093,134.5213,62.060219
1094,134.33755,62.317946
1095,134.38304,62.388023
1096,134.22738,62.426855
1097,134.49752,62.373896
1098,134.25213,62.518002
1099,134.43829,62.439683
1100,134.34387,62.780501
1101,134.47776,62.734166
1102,134.30193,62.746044
1103,8.1489047,29.657076
1104,7.99462149999999,29.479536
1105,8.04963229999998,29.495019
1106,8.32621770000003,30.08136
1107,8.39728209999998,29.879179
1108,8.54248699999999,30.045042
1109,8.43552879999999,29.936586
1110,8.48468079999998,29.926128
1111,8.32892149999998,29.860186
1112,8.5057438,29.878952
1113,8.22084430000001,29.684562
1114,8.54662020000001,29.716789
1115,8.3992748,29.669349
1116,8.34088750000001,29.492753
1117,8.47735669999997,29.615494
1118,8.40756399999998,29.545764
1119,8.67088619999998,30.545636
1120,8.57027149999999,30.499561
